"emp_no","last_name","first_name","hire_date"
"10001","Facello","Georgi","1986-06-26"
"10003","Bamford","Parto","1986-08-28"
"10004","Koblick","Chirstian","1986-12-01"
"10053","Zschoche","Sanjiv","1986-02-04"
"10066","Schusler","Kwee","1986-02-26"
"10079","Gils","Kshitij","1986-03-27"
"10081","Rosen","Zhongwei","1986-10-30"
"10087","Eugenio","Xinglin","1986-09-08"
"10089","Flasterstein","Sudharsan","1986-08-12"
"10090","Hofting","Kendra","1986-03-14"
"10095","Morton","Hilari","1986-07-15"
"10103","Birch","Akemi","1986-12-02"
"10108","Giveon","Lunjin","1986-10-02"
"10110","Ullian","Xuejia","1986-08-22"
"10115","Rissland","Chikara","1986-01-23"
"10119","Peltason","Domenick","1986-03-14"
"10136","Pintelas","Zissis","1986-02-11"
"10138","Shimshoni","Perry","1986-09-18"
"10147","Encarnacion","Kazuhito","1986-08-21"
"10149","Perry","Xiadong","1986-11-05"
"10150","Perng","Zhenbing","1986-11-16"
"10152","Munro","Jaques","1986-01-27"
"10158","Mitsuhashi","Khedija","1986-01-29"
"10168","Stassinopoulos","Dharmaraja","1986-12-06"
"10170","Jenevein","Kasturi","1986-01-02"
"10178","Litvinov","Valery","1986-10-07"
"10180","Wendorf","Shaw","1986-02-25"
"10185","Sidhu","Duro","1986-03-01"
"10186","Kropatsch","Shigehito","1986-03-28"
"10190","Fairtlough","Arve","1986-06-23"
"10191","Nastansky","Zdislav","1986-04-10"
"10201","Kavraki","Idoia","1986-11-22"
"10204","Ritcey","Nevio","1986-12-04"
"10217","Roison","Yongmin","1986-05-12"
"10222","Nourani","Tze","1986-06-08"
"10225","Chinen","Kellie","1986-06-19"
"10238","Gire","Mototsugu","1986-11-19"
"10257","Riexinger","Aiman","1986-08-05"
"10259","Vesel","Susanna","1986-06-25"
"10268","Siochi","Nishit","1986-12-17"
"10271","Eastman","Sham","1986-05-23"
"10282","Benzmuller","Hercules","1986-06-04"
"10291","Seghrouchni","Dipayan","1986-09-29"
"10297","Oaver","Narain","1986-05-28"
"10302","Baer","Faiza","1986-07-22"
"10312","Deyuan","Rasiah","1986-08-28"
"10314","Apsitis","Christfried","1986-01-16"
"10317","Birge","Arie","1986-12-10"
"10329","Shigei","Remko","1986-01-20"
"10361","Sidou","Seshu","1986-10-23"
"10369","Toyoshima","Qunsheng","1986-05-17"
"10384","Luft","Feiyu","1986-01-16"
"10396","Rahier","Sibyl","1986-01-11"
"10412","Fabrizio","Masoud","1986-05-06"
"10429","Improta","Martien","1986-03-09"
"10435","Tagansky","Marsha","1986-12-19"
"10494","Servieres","Yakkov","1986-01-18"
"10512","Gihr","Udi","1986-01-12"
"10519","Alencar","Yonghoan","1986-03-22"
"10522","Cesareni","Marke","1986-12-12"
"10532","Wossner","Mary","1986-05-18"
"10533","Smailagic","Mohamadou","1986-10-31"
"10541","Eiter","Godehard","1986-02-28"
"10548","Gunderson","Ramalingam","1986-05-04"
"10557","Karlin","Sashi","1986-03-31"
"10564","Thisen","Jianhao","1986-05-08"
"10582","Juneja","Shmuel","1986-06-22"
"10584","Papastamatiou","Mana","1986-02-17"
"10585","Willoner","Sajjad","1986-01-05"
"10590","Kalloufi","Yongqiao","1986-04-09"
"10608","Talmor","Adhemar","1986-05-25"
"10629","Francisci","Lalit","1986-01-30"
"10642","Narlikar","Hirochika","1986-08-06"
"10662","Serra","Arto","1986-09-28"
"10672","Zeilberger","Bluma","1986-07-13"
"10676","Danley","Valeri","1986-03-20"
"10680","Honglei","Kish","1986-06-20"
"10693","Daescu","Berhard","1986-01-08"
"10701","Zolotykh","Hyuncheol","1986-10-27"
"10709","Mateescu","Jiafu","1986-02-02"
"10713","Naumovich","Jagoda","1986-04-26"
"10729","Lorho","Percy","1986-04-20"
"10757","Simkin","Florina","1986-01-06"
"10776","Skafidas","Mahmut","1986-03-16"
"10778","Merey","Selwyn","1986-07-04"
"10807","Zallocco","Munehiro","1986-10-23"
"10819","Sooriamurthi","Pascal","1986-08-02"
"10820","Pena","Baocai","1986-02-23"
"10822","Passino","Masaru","1986-01-11"
"10828","Gammage","Godehard","1986-02-14"
"10832","Bergere","Hidde","1986-10-11"
"10837","Karlin","Chuanti","1986-01-14"
"10842","Sanella","Berni","1986-07-14"
"10847","Danley","Theirry","1986-07-25"
"10856","Peck","Sreenivas","1986-12-31"
"10867","Gyorkos","Billur","1986-10-08"
"10874","Borstler","Mahmut","1986-04-22"
"10877","Biron","Subir","1986-06-06"
"10880","Nitsche","Weiye","1986-04-20"
"10895","Petersohn","Vishwani","1986-04-26"
"10897","Kumaresan","Arno","1986-04-09"
"10898","Markovitch","Munenori","1986-04-10"
"10912","Fasbender","Oscal","1986-04-23"
"10921","Bahi","Mara","1986-07-27"
"10925","Waterhouse","Heng","1986-09-04"
"10952","Bharadwaj","Inderjeet","1986-07-22"
"10955","Danley","Urs","1986-09-27"
"10961","Choobineh","Weiwu","1986-05-14"
"10962","Kugler","Naraig","1986-12-16"
"10965","Braunschweig","Eckart","1986-07-29"
"10975","Birnbaum","Peternela","1986-10-31"
"10979","Raney","Elrique","1986-01-27"
"11005","Douceur","Byong","1986-07-27"
"11009","Axelband","Alper","1986-09-09"
"11010","Narwekar","Jaques","1986-12-18"
"11012","Speckmann","Taegyun","1986-12-28"
"11027","Cappello","Remzi","1986-05-07"
"11028","Krider","Miyeon","1986-06-18"
"11050","Katiyar","Elvis","1986-05-06"
"11054","Krohn","Utpal","1986-07-18"
"11059","Jarecki","Shawna","1986-11-17"
"11073","Clemencon","Yuriy","1986-08-18"
"11085","Thummel","Hailing","1986-11-27"
"11090","Hasenauer","Ebbe","1986-07-25"
"11093","Kitai","Licheng","1986-02-17"
"11096","Zallocco","Shugo","1986-12-12"
"11100","Cochrane","Berna","1986-10-13"
"11136","Luiz","Gladys","1986-02-04"
"11137","Luca","Hugh","1986-07-31"
"11138","Matteis","Adel","1986-10-22"
"11159","Schlenzig","Becky","1986-08-31"
"11180","Bojadziev","Mitsuyuki","1986-06-11"
"11197","Fordan","Tadahiro","1986-04-13"
"11210","Decaestecker","Kamakshi","1986-02-27"
"11226","Akiyama","Margareta","1986-07-13"
"11237","Salinas","Brendon","1986-03-30"
"11252","Dulin","Rutger","1986-01-15"
"11255","Karunanithi","Ortrud","1986-10-08"
"11256","Ratzlaff","Gudjon","1986-09-25"
"11257","Pews","Weidon","1986-12-12"
"11259","Gronowski","Amalendu","1986-12-26"
"11264","Oehlmann","Uma","1986-10-09"
"11278","Juneja","Sumali","1986-04-22"
"11303","Usery","Jaewoo","1986-11-05"
"11305","Schwabacher","Augustine","1986-04-11"
"11307","Dratva","Mohd","1986-03-24"
"11308","Tibblin","Tadahiro","1986-08-07"
"11313","Kusalik","Paraskevi","1986-02-28"
"11318","Unno","Gopalakrishnan","1986-01-25"
"11319","Marrakchi","Pranas","1986-10-03"
"11328","Ferriere","Xiong","1986-08-08"
"11334","Vural","Yurij","1986-10-12"
"11347","Jonsson","Anneli","1986-04-20"
"11353","Berztiss","Utpal","1986-08-25"
"11363","Milicia","Jenwei","1986-03-16"
"11376","Suomi","Valery","1986-03-14"
"11378","Katiyar","Masamitsu","1986-01-03"
"11398","Peir","Oscar","1986-08-23"
"11421","Msuda","Josyula","1986-09-02"
"11429","Kaminger","Nagui","1986-10-16"
"11435","Lichtman","Utpal","1986-10-15"
"11449","Asser","Kotesh","1986-08-27"
"11459","Suomi","Duke","1986-05-03"
"11461","Cronau","Kish","1986-08-19"
"11466","Koshino","Naftali","1986-05-03"
"11473","Eugenio","Jiakeng","1986-11-19"
"11481","Schrooten","Sven","1986-11-03"
"11496","Marakhovsky","Toshimo","1986-04-14"
"11506","Picel","Rance","1986-07-01"
"11513","Mahnke","Otmar","1986-03-27"
"11515","Basawa","Ulf","1986-02-27"
"11517","Raczkowsky","Hatem","1986-10-09"
"11537","Pehl","DAIDA","1986-07-06"
"11545","Lieblein","Bartek","1986-09-19"
"11548","Leuchs","Nahid","1986-05-16"
"11555","Perfilyeva","Kotesh","1986-10-14"
"11569","Geffroy","Kasidit","1986-10-06"
"11571","Takkinen","Jinpo","1986-02-15"
"11576","Demizu","Lakshmi","1986-11-25"
"11583","Domenig","Margo","1986-06-09"
"11588","Panangaden","Kaijung","1986-10-13"
"11591","Lindqvist","Kiyomitsu","1986-01-07"
"11611","Mateescu","Annemarie","1986-12-02"
"11613","Marchesini","Lijia","1986-12-19"
"11614","Peha","Moni","1986-03-08"
"11621","Baaleh","Ottavia","1986-11-17"
"11638","Falco","JoAnne","1986-03-30"
"11660","Stenning","Gill","1986-11-22"
"11669","Anguita","Leah","1986-04-07"
"11671","Babu","Pranjal","1986-12-31"
"11675","Pettit","Slavian","1986-10-07"
"11682","Zumaque","Dante","1986-11-27"
"11684","Gide","Oksana","1986-02-21"
"11687","Peak","Owen","1986-01-13"
"11689","Thisen","Jixiang","1986-12-26"
"11710","Hatcliff","Rajmohan","1986-09-05"
"11716","Leijenhorst","Anneli","1986-04-17"
"11738","Lichtman","Tadahiro","1986-06-19"
"11740","Pero","Isaac","1986-09-03"
"11747","Kossowski","Aksel","1986-02-20"
"11776","Zaccaria","Giordano","1986-11-05"
"11788","Gopalakrishnan","Georgy","1986-10-03"
"11799","Silva","Duro","1986-03-03"
"11804","Rusterholz","Bikash","1986-09-16"
"11808","Rosiles","Morrie","1986-05-17"
"11815","Sommen","Akemi","1986-04-12"
"11817","Markovitch","Niranjan","1986-04-12"
"11830","Snedden","Maya","1986-07-15"
"11832","Zlotek","Arto","1986-10-16"
"11840","Hofman","Jayson","1986-12-21"
"11857","Farrag","Divier","1986-08-27"
"11921","Benner","Yaghout","1986-03-04"
"11927","Aingworth","Mana","1986-04-26"
"11941","Cyre","Gaurav","1986-01-31"
"11976","Barvinok","Jacqueline","1986-10-08"
"11983","Hedayat","Jaana","1986-10-11"
"11993","Dalphin","Marit","1986-06-25"
"11995","Comyn","Lenore","1986-07-26"
"11999","Rabehasaina","Apostol","1986-01-16"
"12004","Schlenzig","Lucien","1986-10-13"
"12019","Ossenbruggen","Mads","1986-02-17"
"12029","Nourani","Jaana","1986-07-10"
"12032","Etalle","Oguz","1986-01-21"
"12036","Ratzlaff","Mads","1986-09-05"
"12037","Katzenelson","Arunas","1986-10-01"
"12049","Covnot","Guadalupe","1986-12-07"
"12052","Khasidashvili","Masako","1986-04-07"
"12056","Genther","Nirmal","1986-07-31"
"12057","Speckmann","Vishv","1986-10-12"
"12064","Silva","Heping","1986-03-14"
"12067","Kalsbeek","Doowon","1986-06-24"
"12082","Yamaashi","Xinan","1986-01-29"
"12085","Rouquie","Hugh","1986-07-03"
"12087","Jumpertz","Weijing","1986-08-16"
"12089","Socorro","Bilhanan","1986-10-22"
"12100","Beznosov","Nevio","1986-11-24"
"12112","Avouris","Satyanarayana","1986-05-24"
"12113","DeMori","Larisa","1986-07-29"
"12120","Schrift","Eckart","1986-06-20"
"12121","Vendrig","Gadiel","1986-03-02"
