"dept_no","dept_name","emp_no","last_name","first_name","from_date","to_date"
"d001","Marketing","110022","Markovitch","Margareta","1985-01-01","1991-10-01"
"d002","Finance","110022","Markovitch","Margareta","1985-01-01","1991-10-01"
"d003","Human Resources","110022","Markovitch","Margareta","1985-01-01","1991-10-01"
"d004","Production","110022","Markovitch","Margareta","1985-01-01","1991-10-01"
"d005","Development","110022","Markovitch","Margareta","1985-01-01","1991-10-01"
"d006","Quality Management","110022","Markovitch","Margareta","1985-01-01","1991-10-01"
"d007","Sales","110022","Markovitch","Margareta","1985-01-01","1991-10-01"
"d008","Research","110022","Markovitch","Margareta","1985-01-01","1991-10-01"
"d009","Customer Service","110022","Markovitch","Margareta","1985-01-01","1991-10-01"
"d001","Marketing","110039","Minakawa","Vishwani","1991-10-01","9999-01-01"
"d002","Finance","110039","Minakawa","Vishwani","1991-10-01","9999-01-01"
"d003","Human Resources","110039","Minakawa","Vishwani","1991-10-01","9999-01-01"
"d004","Production","110039","Minakawa","Vishwani","1991-10-01","9999-01-01"
"d005","Development","110039","Minakawa","Vishwani","1991-10-01","9999-01-01"
"d006","Quality Management","110039","Minakawa","Vishwani","1991-10-01","9999-01-01"
"d007","Sales","110039","Minakawa","Vishwani","1991-10-01","9999-01-01"
"d008","Research","110039","Minakawa","Vishwani","1991-10-01","9999-01-01"
"d009","Customer Service","110039","Minakawa","Vishwani","1991-10-01","9999-01-01"
"d001","Marketing","110085","Alpin","Ebru","1985-01-01","1989-12-17"
"d002","Finance","110085","Alpin","Ebru","1985-01-01","1989-12-17"
"d003","Human Resources","110085","Alpin","Ebru","1985-01-01","1989-12-17"
"d004","Production","110085","Alpin","Ebru","1985-01-01","1989-12-17"
"d005","Development","110085","Alpin","Ebru","1985-01-01","1989-12-17"
"d006","Quality Management","110085","Alpin","Ebru","1985-01-01","1989-12-17"
"d007","Sales","110085","Alpin","Ebru","1985-01-01","1989-12-17"
"d008","Research","110085","Alpin","Ebru","1985-01-01","1989-12-17"
"d009","Customer Service","110085","Alpin","Ebru","1985-01-01","1989-12-17"
"d001","Marketing","110114","Legleitner","Isamu","1989-12-17","9999-01-01"
"d002","Finance","110114","Legleitner","Isamu","1989-12-17","9999-01-01"
"d003","Human Resources","110114","Legleitner","Isamu","1989-12-17","9999-01-01"
"d004","Production","110114","Legleitner","Isamu","1989-12-17","9999-01-01"
"d005","Development","110114","Legleitner","Isamu","1989-12-17","9999-01-01"
"d006","Quality Management","110114","Legleitner","Isamu","1989-12-17","9999-01-01"
"d007","Sales","110114","Legleitner","Isamu","1989-12-17","9999-01-01"
"d008","Research","110114","Legleitner","Isamu","1989-12-17","9999-01-01"
"d009","Customer Service","110114","Legleitner","Isamu","1989-12-17","9999-01-01"
"d001","Marketing","110183","Ossenbruggen","Shirish","1985-01-01","1992-03-21"
"d002","Finance","110183","Ossenbruggen","Shirish","1985-01-01","1992-03-21"
"d003","Human Resources","110183","Ossenbruggen","Shirish","1985-01-01","1992-03-21"
"d004","Production","110183","Ossenbruggen","Shirish","1985-01-01","1992-03-21"
"d005","Development","110183","Ossenbruggen","Shirish","1985-01-01","1992-03-21"
"d006","Quality Management","110183","Ossenbruggen","Shirish","1985-01-01","1992-03-21"
"d007","Sales","110183","Ossenbruggen","Shirish","1985-01-01","1992-03-21"
"d008","Research","110183","Ossenbruggen","Shirish","1985-01-01","1992-03-21"
"d009","Customer Service","110183","Ossenbruggen","Shirish","1985-01-01","1992-03-21"
"d001","Marketing","110228","Sigstam","Karsten","1992-03-21","9999-01-01"
"d002","Finance","110228","Sigstam","Karsten","1992-03-21","9999-01-01"
"d003","Human Resources","110228","Sigstam","Karsten","1992-03-21","9999-01-01"
"d004","Production","110228","Sigstam","Karsten","1992-03-21","9999-01-01"
"d005","Development","110228","Sigstam","Karsten","1992-03-21","9999-01-01"
"d006","Quality Management","110228","Sigstam","Karsten","1992-03-21","9999-01-01"
"d007","Sales","110228","Sigstam","Karsten","1992-03-21","9999-01-01"
"d008","Research","110228","Sigstam","Karsten","1992-03-21","9999-01-01"
"d009","Customer Service","110228","Sigstam","Karsten","1992-03-21","9999-01-01"
"d001","Marketing","110303","Wegerle","Krassimir","1985-01-01","1988-09-09"
"d002","Finance","110303","Wegerle","Krassimir","1985-01-01","1988-09-09"
"d003","Human Resources","110303","Wegerle","Krassimir","1985-01-01","1988-09-09"
"d004","Production","110303","Wegerle","Krassimir","1985-01-01","1988-09-09"
"d005","Development","110303","Wegerle","Krassimir","1985-01-01","1988-09-09"
"d006","Quality Management","110303","Wegerle","Krassimir","1985-01-01","1988-09-09"
"d007","Sales","110303","Wegerle","Krassimir","1985-01-01","1988-09-09"
"d008","Research","110303","Wegerle","Krassimir","1985-01-01","1988-09-09"
"d009","Customer Service","110303","Wegerle","Krassimir","1985-01-01","1988-09-09"
"d001","Marketing","110344","Cools","Rosine","1988-09-09","1992-08-02"
"d002","Finance","110344","Cools","Rosine","1988-09-09","1992-08-02"
"d003","Human Resources","110344","Cools","Rosine","1988-09-09","1992-08-02"
"d004","Production","110344","Cools","Rosine","1988-09-09","1992-08-02"
"d005","Development","110344","Cools","Rosine","1988-09-09","1992-08-02"
"d006","Quality Management","110344","Cools","Rosine","1988-09-09","1992-08-02"
"d007","Sales","110344","Cools","Rosine","1988-09-09","1992-08-02"
"d008","Research","110344","Cools","Rosine","1988-09-09","1992-08-02"
"d009","Customer Service","110344","Cools","Rosine","1988-09-09","1992-08-02"
"d001","Marketing","110386","Kieras","Shem","1992-08-02","1996-08-30"
"d002","Finance","110386","Kieras","Shem","1992-08-02","1996-08-30"
"d003","Human Resources","110386","Kieras","Shem","1992-08-02","1996-08-30"
"d004","Production","110386","Kieras","Shem","1992-08-02","1996-08-30"
